id,flight,seg,family,vel,twr,ccw,n,vmax,comment
2021-02-05-14-00-56_seg_1,2021-02-05-14-00-56,1,battery_test,,,0,6423,13.102,"battery test 01, short circle"
2021-02-05-14-00-56_seg_2,2021-02-05-14-00-56,2,battery_test,,,0,1382,1.049,"battery test 01, short circle"
2021-02-05-14-01-47_seg_1,2021-02-05-14-01-47,1,battery_test,,,0,953,1.226,"battery test 02, short circle"
2021-02-05-14-01-47_seg_2,2021-02-05-14-01-47,2,battery_test,,,0,1881,1.544,"battery test 02, short circle"
2021-02-05-14-01-47_seg_3,2021-02-05-14-01-47,3,battery_test,,,0,7496,13.153,"battery test 02, short circle"
2021-02-05-14-02-47_seg_1,2021-02-05-14-02-47,1,battery_test,,,0,935,1.211,"battery test 03, short circle"
2021-02-05-14-02-47_seg_2,2021-02-05-14-02-47,2,battery_test,,,0,1946,1.575,"battery test 03, short circle"
2021-02-05-14-02-47_seg_3,2021-02-05-14-02-47,3,battery_test,,,0,7693,13.145,"battery test 03, short circle"
2021-02-05-14-03-41_seg_1,2021-02-05-14-03-41,1,battery_test,,,0,927,1.185,"battery test 04, short circle"
2021-02-05-14-03-41_seg_2,2021-02-05-14-03-41,2,battery_test,,,0,1778,1.521,"battery test 04, short circle"
2021-02-05-14-03-41_seg_3,2021-02-05-14-03-41,3,battery_test,,,0,6426,13.174,"battery test 04, short circle"
2021-02-05-14-03-41_seg_4,2021-02-05-14-03-41,4,battery_test,,,0,1359,1.067,"battery test 04, short circle"
2021-02-05-14-04-32_seg_1,2021-02-05-14-04-32,1,battery_test,,,0,918,1.172,"battery test 05, short circle"
2021-02-05-14-04-32_seg_2,2021-02-05-14-04-32,2,battery_test,,,0,9246,13.181,"battery test 05, short circle"
2021-02-05-14-19-34_seg_1,2021-02-05-14-19-34,1,oscillation_vertical,1,,0,2083,2.647,"vertical oscillation, vel = 1"
2021-02-05-14-19-34_seg_2,2021-02-05-14-19-34,2,oscillation_vertical,1,,0,11055,2.411,"vertical oscillation, vel = 1"
2021-02-05-14-19-34_seg_3,2021-02-05-14-19-34,3,oscillation_vertical,1,,0,1877,1.082,"vertical oscillation, vel = 1"
2021-02-05-14-24-35_seg_1,2021-02-05-14-24-35,1,oscillation_vertical,1.7,,0,968,1.228,"vertical oscillation, vel = 1.7"
2021-02-05-14-24-35_seg_2,2021-02-05-14-24-35,2,oscillation_vertical,1.7,,0,11913,4.006,"vertical oscillation, vel = 1.7"
2021-02-05-14-24-35_seg_3,2021-02-05-14-24-35,3,oscillation_vertical,1.7,,0,2902,1.122,"vertical oscillation, vel = 1.7"
2021-02-05-15-04-42_seg_1,2021-02-05-15-04-42,1,circle_3d,0.45,,0,2117,3.145,"3d circle, vel = 0.45"
2021-02-05-15-04-42_seg_2,2021-02-05-15-04-42,2,circle_3d,0.45,,0,23600,8.681,"3d circle, vel = 0.45"
2021-02-05-15-04-42_seg_3,2021-02-05-15-04-42,3,circle_3d,0.45,,0,2166,1.091,"3d circle, vel = 0.45"
2021-02-05-15-40-15_seg_1,2021-02-05-15-40-15,1,cpc,,1.65,0,12319,11.018,"cpc, 1.65 TWR, offset z + 0.7m"
2021-02-05-15-40-15_seg_2,2021-02-05-15-40-15,2,cpc,,1.65,0,1268,1.034,"cpc, 1.65 TWR, offset z + 0.7m"
2021-02-05-15-46-49_seg_1,2021-02-05-15-46-49,1,cpc,,2.475,0,1682,2.043,"cpc, 2.475 TWR, offset z + 0.7m"
2021-02-05-15-46-49_seg_2,2021-02-05-15-46-49,2,cpc,,2.475,0,9966,13.888,"cpc, 2.475 TWR, offset z + 0.7m"
2021-02-05-15-46-49_seg_3,2021-02-05-15-46-49,3,cpc,,2.475,0,1286,1.029,"cpc, 2.475 TWR, offset z + 0.7m"
2021-02-05-15-56-24_seg_1,2021-02-05-15-56-24,1,cpc,,2.75,0,2205,3.176,"cpc, 2.75 TWR, offset z + 0.7m"
2021-02-05-15-56-24_seg_2,2021-02-05-15-56-24,2,cpc,,2.75,0,9723,14.459,"cpc, 2.75 TWR, offset z + 0.7m"
2021-02-05-15-56-24_seg_3,2021-02-05-15-56-24,3,cpc,,2.75,0,1300,1.023,"cpc, 2.75 TWR, offset z + 0.7m"
2021-02-05-15-58-59_seg_1,2021-02-05-15-58-59,1,lemniscate,1,,0,2858,3.24,"lemniscate, vel = 1"
2021-02-05-15-58-59_seg_2,2021-02-05-15-58-59,2,lemniscate,1,,0,12589,6.559,"lemniscate, vel = 1"
2021-02-05-15-58-59_seg_3,2021-02-05-15-58-59,3,lemniscate,1,,0,1369,1.072,"lemniscate, vel = 1"
2021-02-05-16-06-45_seg_1,2021-02-05-16-06-45,1,lemniscate,1.5,,0,1047,1.337,"lemniscate, vel = 1.5"
2021-02-05-16-06-45_seg_2,2021-02-05-16-06-45,2,lemniscate,1.5,,0,2864,3.124,"lemniscate, vel = 1.5"
2021-02-05-16-06-45_seg_3,2021-02-05-16-06-45,3,lemniscate,1.5,,0,12865,9.481,"lemniscate, vel = 1.5"
2021-02-05-16-06-45_seg_4,2021-02-05-16-06-45,4,lemniscate,1.5,,0,1484,1.064,"lemniscate, vel = 1.5"
2021-02-05-16-10-53_seg_1,2021-02-05-16-10-53,1,lemniscate,1.75,,0,12814,12.342,"lemniscate, vel = 1.75"
2021-02-05-16-10-53_seg_2,2021-02-05-16-10-53,2,lemniscate,1.75,,0,1447,1.069,"lemniscate, vel = 1.75"
2021-02-05-16-14-20_seg_1,2021-02-05-16-14-20,1,lemniscate,2,,0,2517,1.429,"lemniscate, vel = 2"
2021-02-05-16-14-20_seg_2,2021-02-05-16-14-20,2,lemniscate,2,,0,14441,13.124,"lemniscate, vel = 2"
2021-02-05-16-16-00_seg_1,2021-02-05-16-16-00,1,battery_test,,,0,2724,3.17,"battery test 06, short circle"
2021-02-05-16-16-00_seg_2,2021-02-05-16-16-00,2,battery_test,,,0,6426,13.219,"battery test 06, short circle"
2021-02-05-16-16-00_seg_3,2021-02-05-16-16-00,3,battery_test,,,0,1375,1.072,"battery test 06, short circle"
2021-02-05-16-19-10_seg_1,2021-02-05-16-19-10,1,battery_test,,,0,2342,1.48,"battery test 08, short circle"
2021-02-05-16-19-10_seg_2,2021-02-05-16-19-10,2,battery_test,,,0,6039,13.247,"battery test 08, short circle"
2021-02-05-16-29-21_seg_1,2021-02-05-16-29-21,1,cpc,,2.475,0,958,1.252,"cpc, 2.475 TWR, offset z + 0.7m"
2021-02-05-16-29-21_seg_2,2021-02-05-16-29-21,2,cpc,,2.475,0,1968,2.373,"cpc, 2.475 TWR, offset z + 0.7m"
2021-02-05-16-29-21_seg_3,2021-02-05-16-29-21,3,cpc,,2.475,0,10036,13.938,"cpc, 2.475 TWR, offset z + 0.7m"
2021-02-05-16-29-21_seg_4,2021-02-05-16-29-21,4,cpc,,2.475,0,1820,1.008,"cpc, 2.475 TWR, offset z + 0.7m"
2021-02-05-16-31-14_seg_1,2021-02-05-16-31-14,1,cpc,,2.475,0,927,1.236,"cpc, 2.475 TWR, offset z + 0.7m"
2021-02-05-16-31-14_seg_2,2021-02-05-16-31-14,2,cpc,,2.475,0,3275,3.2,"cpc, 2.475 TWR, offset z + 0.7m"
2021-02-05-16-31-14_seg_3,2021-02-05-16-31-14,3,cpc,,2.475,0,9977,13.903,"cpc, 2.475 TWR, offset z + 0.7m"
2021-02-05-16-31-14_seg_4,2021-02-05-16-31-14,4,cpc,,2.475,0,1253,1.059,"cpc, 2.475 TWR, offset z + 0.7m"
2021-02-05-16-33-13_seg_1,2021-02-05-16-33-13,1,battery_test,,,0,8569,13.223,"battery test 09, short circle"
2021-02-05-16-33-13_seg_2,2021-02-05-16-33-13,2,battery_test,,,0,1353,1.078,"battery test 09, short circle"
2021-02-18-13-44-23_seg_1,2021-02-18-13-44-23,1,circle_3d,2,,0,1388,1.24,"3d circle, delta_z = 4, vel=2"
2021-02-18-13-44-23_seg_2,2021-02-18-13-44-23,2,circle_3d,2,,0,16797,9.693,"3d circle, delta_z = 4, vel=2"
2021-02-18-13-44-23_seg_3,2021-02-18-13-44-23,3,circle_3d,2,,0,3051,1.126,"3d circle, delta_z = 4, vel=2"
2021-02-18-14-15-53_seg_1,2021-02-18-14-15-53,1,circle_3d,2.9,,0,16183,13.961,"3d circle, delta_z = 4, vel=2.9"
2021-02-18-14-15-53_seg_2,2021-02-18-14-15-53,2,circle_3d,2.9,,0,2810,1.122,"3d circle, delta_z = 4, vel=2.9"
2021-02-18-15-47-24_seg_1,2021-02-18-15-47-24,1,circle_3d,2.9,,0,3361,3.107,"3d circle, delta_z = 4, vel=2.9"
2021-02-18-15-47-24_seg_2,2021-02-18-15-47-24,2,circle_3d,2.9,,0,13046,13.848,"3d circle, delta_z = 4, vel=2.9"
2021-02-18-15-47-24_seg_3,2021-02-18-15-47-24,3,circle_3d,2.9,,0,3130,1.126,"3d circle, delta_z = 4, vel=2.9"
2021-02-18-16-08-00_seg_1,2021-02-18-16-08-00,1,circle_3d,2.9,,1,783,1.242,"3d circle, delta_z = 4, vel=2.9, ccw"
2021-02-18-16-08-00_seg_2,2021-02-18-16-08-00,2,circle_3d,2.9,,1,2760,3.145,"3d circle, delta_z = 4, vel=2.9, ccw"
2021-02-18-16-08-00_seg_3,2021-02-18-16-08-00,3,circle_3d,2.9,,1,13049,13.819,"3d circle, delta_z = 4, vel=2.9, ccw"
2021-02-18-16-08-00_seg_4,2021-02-18-16-08-00,4,circle_3d,2.9,,1,3130,1.142,"3d circle, delta_z = 4, vel=2.9, ccw"
2021-02-18-16-31-30_seg_1,2021-02-18-16-31-30,1,circle_3d,2.9,,1,1018,1.26,"3d circle, delta_z = 4, vel=2.9, ccw"
2021-02-18-16-31-30_seg_2,2021-02-18-16-31-30,2,circle_3d,2.9,,1,15818,13.774,"3d circle, delta_z = 4, vel=2.9, ccw"
2021-02-18-16-31-30_seg_3,2021-02-18-16-31-30,3,circle_3d,2.9,,1,3143,1.139,"3d circle, delta_z = 4, vel=2.9, ccw"
2021-02-18-16-41-41_seg_1,2021-02-18-16-41-41,1,oscillation_linear,2.0,,0,15006,12.336,"linear oscillation, vel=2.0"
2021-02-18-16-41-41_seg_2,2021-02-18-16-41-41,2,oscillation_linear,2.0,,0,1781,1.091,"linear oscillation, vel=2.0"
2021-02-18-16-43-54_seg_1,2021-02-18-16-43-54,1,oscillation_linear,2.0,,0,246,1.242,"linear oscillation, vel=2.0"
2021-02-18-16-43-54_seg_2,2021-02-18-16-43-54,2,oscillation_linear,2.0,,0,620,3.1,"linear oscillation, vel=2.0"
2021-02-18-16-43-54_seg_3,2021-02-18-16-43-54,3,oscillation_linear,2.0,,0,5011,12.471,"linear oscillation, vel=2.0"
2021-02-18-16-43-54_seg_4,2021-02-18-16-43-54,4,oscillation_linear,2.0,,0,484,1.097,"linear oscillation, vel=2.0"
2021-02-18-16-47-02_seg_1,2021-02-18-16-47-02,1,oscillation_linear,2.25,,0,961,1.255,"linear oscillation, vel=2.25"
2021-02-18-16-47-02_seg_2,2021-02-18-16-47-02,2,oscillation_linear,2.25,,0,2095,3.11,"linear oscillation, vel=2.25"
2021-02-18-16-47-02_seg_3,2021-02-18-16-47-02,3,oscillation_linear,2.25,,0,14555,14.203,"linear oscillation, vel=2.25"
2021-02-18-16-48-24_seg_1,2021-02-18-16-48-24,1,oscillation_linear,2.25,,0,3078,3.085,"linear oscillation, vel=2.25"
2021-02-18-16-48-24_seg_2,2021-02-18-16-48-24,2,oscillation_linear,2.25,,0,14270,14.281,"linear oscillation, vel=2.25"
2021-02-18-16-53-35_seg_1,2021-02-18-16-53-35,1,oscillation_linear,2.4,,0,925,1.257,"linear oscillation, vel=2.4"
2021-02-18-16-53-35_seg_2,2021-02-18-16-53-35,2,oscillation_linear,2.4,,0,15996,15.092,"linear oscillation, vel=2.4"
2021-02-18-16-55-00_seg_1,2021-02-18-16-55-00,1,oscillation_linear,2.4,,0,15626,15.045,"linear oscillation, vel=2.4"
2021-02-18-16-55-00_seg_2,2021-02-18-16-55-00,2,oscillation_linear,2.4,,0,1413,1.089,"linear oscillation, vel=2.4"
2021-02-18-17-03-20_seg_1,2021-02-18-17-03-20,1,lemniscate,1,,0,3086,3.101,"lemniscate, vel = 1"
2021-02-18-17-03-20_seg_2,2021-02-18-17-03-20,2,lemniscate,1,,0,14306,6.516,"lemniscate, vel = 1"
2021-02-18-17-05-14_seg_1,2021-02-18-17-05-14,1,lemniscate,1.5,,0,918,1.242,"lemniscate, vel = 1.5"
2021-02-18-17-05-14_seg_2,2021-02-18-17-05-14,2,lemniscate,1.5,,0,1908,3.125,"lemniscate, vel = 1.5"
2021-02-18-17-05-14_seg_3,2021-02-18-17-05-14,3,lemniscate,1.5,,0,12865,9.734,"lemniscate, vel = 1.5"
2021-02-18-17-05-14_seg_4,2021-02-18-17-05-14,4,lemniscate,1.5,,0,1533,1.064,"lemniscate, vel = 1.5"
2021-02-18-17-06-27_seg_1,2021-02-18-17-06-27,1,lemniscate,1.5,,0,16377,9.811,"lemniscate, vel = 1.5"
2021-02-18-17-09-50_seg_1,2021-02-18-17-09-50,1,lemniscate,2,,0,16868,13.662,"lemniscate, vel = 2"
2021-02-18-17-12-03_seg_1,2021-02-18-17-12-03,1,lemniscate,1.75,,0,16578,11.632,"lemniscate, vel = 1.75"
2021-02-18-17-19-08_seg_1,2021-02-18-17-19-08,1,cpc,,1.65,0,2865,3.073,"cpc, 1.65 TWR, offset z + 0.7m"
2021-02-18-17-19-08_seg_2,2021-02-18-17-19-08,2,cpc,,1.65,0,12724,11.264,"cpc, 1.65 TWR, offset z + 0.7m"
2021-02-18-17-20-37_seg_1,2021-02-18-17-20-37,1,cpc,,2.475,0,14832,14.235,"cpc, 2.475 TWR, offset z + 0.7m"
2021-02-18-17-26-00_seg_1,2021-02-18-17-26-00,1,cpc,,2.475,0,10452,14.261,"cpc, 2.475 TWR, offset z + 0.7m"
2021-02-18-17-28-35_seg_1,2021-02-18-17-28-35,1,cpc,,2.75,0,3985,3.21,"cpc, 2.75 TWR, offset z + 0.7m"
2021-02-18-17-28-35_seg_2,2021-02-18-17-28-35,2,cpc,,2.75,0,10095,14.972,"cpc, 2.75 TWR, offset z + 0.7m"
2021-02-18-17-42-11_seg_1,2021-02-18-17-42-11,1,circle_3d,3.25,,1,3255,3.122,"3d circle ccw, radius = 3, vel = 3.25"
2021-02-18-17-42-11_seg_2,2021-02-18-17-42-11,2,circle_3d,3.25,,1,12928,9.734,"3d circle ccw, radius = 3, vel = 3.25"
2021-02-18-17-42-11_seg_3,2021-02-18-17-42-11,3,circle_3d,3.25,,1,2313,1.117,"3d circle ccw, radius = 3, vel = 3.25"
2021-02-18-17-44-17_seg_1,2021-02-18-17-44-17,1,circle_3d,3.25,,0,17261,9.613,"3d circle, radius = 3, vel = 3.25"
2021-02-18-17-47-42_seg_1,2021-02-18-17-47-42,1,circle_3d,3.25,,1,18141,11.148,"3d circle ccw, radius = 3.5, vel = 3.25"
2021-02-18-17-48-50_seg_1,2021-02-18-17-48-50,1,circle_3d,3.25,,0,900,1.194,"3d circle, radius = 3.5, vel = 3.25"
2021-02-18-17-48-50_seg_2,2021-02-18-17-48-50,2,circle_3d,3.25,,0,1931,3.217,"3d circle, radius = 3.5, vel = 3.25"
2021-02-18-17-48-50_seg_3,2021-02-18-17-48-50,3,circle_3d,3.25,,0,15126,11.353,"3d circle, radius = 3.5, vel = 3.25"
2021-02-18-18-02-03_seg_1,2021-02-18-18-02-03,1,circle_3d,3,,1,16752,11.617,"3d circle ccw, radius = 4, vel = 3"
2021-02-18-18-03-06_seg_1,2021-02-18-18-03-06,1,circle_3d,3,,0,2218,3.371,"3d circle, radius = 4, vel = 3"
2021-02-18-18-03-06_seg_2,2021-02-18-18-03-06,2,circle_3d,3,,0,14264,11.833,"3d circle, radius = 4, vel = 3"
2021-02-18-18-08-45_seg_1,2021-02-18-18-08-45,1,circle_3d,2.75,,1,15626,11.81,"3d circle ccw, radius = 4.5, vel = 2.75"
2021-02-18-18-09-47_seg_1,2021-02-18-18-09-47,1,circle_3d,2.75,,0,16379,12.109,"3d circle, radius = 4.5, vel = 2.75"
2021-02-23-10-43-02_seg_1,2021-02-23-10-43-02,1,lemniscate,0.35,,1,937,1.275,"lemniscate, vel = 0.35, r=7.5m, ccw, full battery"
2021-02-23-10-43-02_seg_2,2021-02-23-10-43-02,2,lemniscate,0.35,,1,3473,3.198,"lemniscate, vel = 0.35, r=7.5m, ccw, full battery"
2021-02-23-10-43-02_seg_3,2021-02-23-10-43-02,3,lemniscate,0.35,,1,11743,3.454,"lemniscate, vel = 0.35, r=7.5m, ccw, full battery"
2021-02-23-10-43-02_seg_4,2021-02-23-10-43-02,4,lemniscate,0.35,,1,1551,1.096,"lemniscate, vel = 0.35, r=7.5m, ccw, full battery"
2021-02-23-10-48-03_seg_1,2021-02-23-10-48-03,1,lemniscate,0.35,,0,3051,3.093,"lemniscate, vel = 0.35, r=7.5m, full battery"
2021-02-23-10-48-03_seg_2,2021-02-23-10-48-03,2,lemniscate,0.35,,0,11749,3.455,"lemniscate, vel = 0.35, r=7.5m, full battery"
2021-02-23-10-48-03_seg_3,2021-02-23-10-48-03,3,lemniscate,0.35,,0,1655,1.09,"lemniscate, vel = 0.35, r=7.5m, full battery"
2021-02-23-10-50-42_seg_1,2021-02-23-10-50-42,1,lemniscate,1.0,,1,2592,3.117,"lemniscate, vel = 1.0, r=7.5m, ccw"
2021-02-23-10-50-42_seg_2,2021-02-23-10-50-42,2,lemniscate,1.0,,1,14128,9.72,"lemniscate, vel = 1.0, r=7.5m, ccw"
2021-02-23-10-52-00_seg_1,2021-02-23-10-52-00,1,lemniscate,1.0,,0,2886,3.085,"lemniscate, vel = 1.0, r=7.5m"
2021-02-23-10-52-00_seg_2,2021-02-23-10-52-00,2,lemniscate,1.0,,0,13873,9.822,"lemniscate, vel = 1.0, r=7.5m"
2021-02-23-11-31-23_seg_1,2021-02-23-11-31-23,1,random_points,,,0,915,1.228,"random points 1, slow"
2021-02-23-11-31-23_seg_2,2021-02-23-11-31-23,2,random_points,,,0,2470,3.114,"random points 1, slow"
2021-02-23-11-31-23_seg_3,2021-02-23-11-31-23,3,random_points,,,0,9950,7.332,"random points 1, slow"
2021-02-23-11-31-23_seg_4,2021-02-23-11-31-23,4,random_points,,,0,1306,1.051,"random points 1, slow"
2021-02-23-11-41-38_seg_1,2021-02-23-11-41-38,1,satellite,,,0,925,1.269,"satellite, slow, full battery"
2021-02-23-11-41-38_seg_2,2021-02-23-11-41-38,2,satellite,,,0,2880,3.154,"satellite, slow, full battery"
2021-02-23-11-41-38_seg_3,2021-02-23-11-41-38,3,satellite,,,0,11431,6.802,"satellite, slow, full battery"
2021-02-23-11-41-38_seg_4,2021-02-23-11-41-38,4,satellite,,,0,2276,1.13,"satellite, slow, full battery"
2021-02-23-14-21-48_seg_1,2021-02-23-14-21-48,1,lemniscate,1.4,,1,958,1.277,"lemniscate, vel = 1.4, r=7.5m, ccw, full battery"
2021-02-23-14-21-48_seg_2,2021-02-23-14-21-48,2,lemniscate,1.4,,1,4500,3.249,"lemniscate, vel = 1.4, r=7.5m, ccw, full battery"
2021-02-23-14-21-48_seg_3,2021-02-23-14-21-48,3,lemniscate,1.4,,1,14784,13.609,"lemniscate, vel = 1.4, r=7.5m, ccw, full battery"
2021-02-23-14-24-07_seg_1,2021-02-23-14-24-07,1,lemniscate,1.4,,0,16004,13.72,"lemniscate, vel = 1.4, r=7.5m"
2021-02-23-14-29-48_seg_1,2021-02-23-14-29-48,1,lemniscate,1.6,,1,1031,1.258,"lemniscate, vel = 1.6, r=7.5m, ccw, full battery, 20s"
2021-02-23-14-29-48_seg_2,2021-02-23-14-29-48,2,lemniscate,1.6,,1,10890,15.671,"lemniscate, vel = 1.6, r=7.5m, ccw, full battery, 20s"
2021-02-23-14-33-04_seg_1,2021-02-23-14-33-04,1,lemniscate,1.6,,0,816,1.218,"lemniscate, vel = 1.6, r=7.5m, 20s"
2021-02-23-14-33-04_seg_2,2021-02-23-14-33-04,2,lemniscate,1.6,,0,10661,15.584,"lemniscate, vel = 1.6, r=7.5m, 20s"
2021-02-23-14-41-07_seg_1,2021-02-23-14-41-07,1,lemniscate,1.7,,1,942,1.267,"lemniscate, vel = 1.7, r=7.5m, ccw, full battery, 20s"
2021-02-23-14-41-07_seg_2,2021-02-23-14-41-07,2,lemniscate,1.7,,1,3501,3.207,"lemniscate, vel = 1.7, r=7.5m, ccw, full battery, 20s"
2021-02-23-14-41-07_seg_3,2021-02-23-14-41-07,3,lemniscate,1.7,,1,10914,16.567,"lemniscate, vel = 1.7, r=7.5m, ccw, full battery, 20s"
